Model,SMOTE,Hyperparameter Tuning,Best Params,Accuracy,Precision,Recall,F1-Score
Naive Bayes (Tuned),Ya (K=3),Ya,"{'priors': None, 'var_smoothing': 1e-12}",0.4361,0.9125,0.4361,0.5505
Decision Tree (Tuned),Ya (K=3),Ya,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}",0.9361,0.9412,0.9361,0.938
