Model,SMOTE,Tuning,Accuracy,Precision,Recall,F1-Score,Keterangan
Naive Bayes (Pembanding),Tidak,Tidak,0.9211,0.8483,0.9211,0.8832,Baseline - Gagal deteksi minoritas (Accuracy Paradox)
Decision Tree (Terbaik),Ya (K=3),Ya,0.9361,0.9412,0.9361,0.938,Model Terbaik - Mampu deteksi Stunted & Severely Stunted
